BaseP,EXP.cost,x,y,row,col,field,EXP.rate.ssopt,NR.ssopt,NR.min,NR.opp,NR.fs,yld.opt,yld.min,yld.fs,pro.opt,pro.min,pro.fs,NR.ffopt,yld.ffopt,pro.ffopt,EXP.rate.ffopt,NUE,cost.NUE,NR.act,yld.act,pro.act,sim
7.24,0.4,639615.9,5100660,10,63,sec35middle,41,95.297239511366,83.192074966299,21.3947494399999,68.4292985029392,40.37607,37.24502,41.16068,12.51424,10.923448,15.45783,85.809357504527,40.62111,14.01767,73,0.2690876,4.41303664,66.9105907662471,40.9044845133979,15.4340813879488,2021EconCondition
7.24,0.4,639625.9,5100660,10,64,sec35middle,40,105.881269219404,88.7719920069641,25.05234368,87.4457545046293,41.72795,37.91344,43.89554,12.65758,11.089824,15.69327,107.149080403813,43.55405,14.23118,73,0.2785198,4.4563168,86.4559379101011,43.7378149368645,15.6829811682864,2021EconCondition
7.24,0.4,639635.9,5100660,10,65,sec35middle,73,135.735380971132,93.1143514545727,28.87645088,113.291818323611,47.4429,38.61229,47.36379,14.06098,10.957197,15.50559,135.735380971132,47.4429,14.06098,73,0.2211336,6.45710112,109.898249310286,46.9125337415938,15.5136813572588,2021EconCondition
7.24,0.4,639645.9,5100660,10,66,sec35middle,73,146.442194807971,100.02462002001,33.64995008,126.712213160895,48.9234,39.48464,49.32063,14.23491,11.092734,15.69739,146.442194807971,48.9234,14.23491,73,0.2211336,6.45710112,127.232889457582,49.3685939090625,15.6860585628936,2021EconCondition
7.24,0.4,639655.9,5100660,10,67,sec35middle,73,149.793344780032,102.636506338307,35.69943296,129.445145272967,49.37906,39.85918,49.68677,14.21764,11.079275,15.67834,149.793344780032,49.37906,14.21764,73,0.2209571,6.45194732,125.70490469703,49.1794995675313,15.6827139505798,2021EconCondition
7.24,0.4,639665.9,5100660,10,68,sec35middle,73,146.422668277972,106.188343910995,37.9986032,123.280617345035,48.93938,40.27935,48.9301,14.35928,11.18965,15.83453,146.422668277972,48.93938,14.35928,73,0.2199293,6.42193556,124.05793657362,49.0356103772395,15.8335824204439,2021EconCondition
7.24,0.4,639675.9,5100660,10,69,sec35middle,72,157.058201151675,119.15193818377,49.63656224,140.02781382478,50.29077,42.40617,50.91905,13.78943,10.776998,15.25059,157.432221745283,50.39647,13.82974,73,0.2196721,6.32655648,138.488536046108,50.676319310302,15.2352020658497,2021EconCondition
7.24,0.4,639685.9,5100660,10,70,sec35middle,71,164.271284379601,123.562780764323,52.40703584,147.81832374112,51.22326,42.91247,52.08928,13.92548,10.915547,15.44665,164.338544560077,51.34585,14.00753,73,0.2206422,6.26623848,157.908793960221,53.5375118758348,15.4750086858048,2021EconCondition
7.24,0.4,639695.9,5100660,10,71,sec35middle,71,171.237942587487,131.837460518988,58.29386816,154.005094641534,52.1827,43.98828,53.02677,14.05949,11.020598,15.5953,171.849040407912,52.38338,14.14234,73,0.2206422,6.26623848,163.760397535597,54.4183375171072,15.616954479046,2021EconCondition
7.24,0.4,639715.9,5100660,10,73,sec35middle,73,174.451984878615,136.182329637947,61.00529888,155.108766263819,52.76519,44.48379,53.3099,14.32819,11.16542,15.80024,174.451984878615,52.76519,14.32819,73,0.2198918,6.42084056,154.735291288689,53.2170133341884,15.7814386585541,2021EconCondition
